TS,PD1,PD2,PD3,PD4,PD5,PD6,Target
1618595788277,0.91,0.54,0,0,0.04,0,1
1618595793281,0.91,0.56,0,0,0.04,0,1
1618595798284,0.87,0.56,0,0,0.08,0,1
1618595803288,0.87,0.56,0,0,0.08,0,1
1618595808291,0.83,0.58,0,0,0.12,0,1
1618595813300,0.83,0.58,0,0,0.12,0,1
1618595818303,0.79,0.6,0,0,0.16,0,1
1618595823306,0.79,0.6,0,0,0.16,0,1
1618595828311,0.76,0.62,0,0,0.24,0,1
1618595833322,0.76,0.62,0,0,0.24,0,1
1618595838325,0.72,0.6,0,0,0.29,0,1
1618595843331,0.72,0.6,0,0,0.29,0,1
1618595848335,0.68,0.62,0,0,0.37,0,1
1618595853338,0.68,0.62,0,0,0.37,0,1
1618595858342,0.63,0.23,0,0,0.44,0,1
1618595863345,0.63,0.23,0,0,0.44,0,1
1618595868358,0.63,0.01,0,0,0.44,0,1
1618595873416,0.59,0.01,0,0,0.5,0,1
1618595878436,0.59,0.01,0,0,0.5,0,1
1618595883441,0.55,0.01,0,0,0.56,0,1
1618595888445,0.55,0.01,0,0,0.56,0,1
1618595893450,0.51,0,0,0,0.63,0,1
1618595898461,0.51,0,0,0,0.63,0,1
1618595903465,0.47,0.01,0,0,0.69,0,1
1618595908469,0.47,0.01,0,0,0.69,0,1
1618595913473,0.44,0,0,0,0.75,0,1
1618595918477,0.44,0,0,0,0.75,0,1
1618595923482,0.39,0,0,0,0.8,0,1
1618595928486,0.39,0,0,0,0.8,0,1
1618595933491,0.36,0.01,0,0,0.86,0,1
1618595938494,0.36,0.01,0,0,0.86,0,1
1618595943498,0.31,0,0,0,0.92,0,1
1618595948502,0.31,0,0,0,0.92,0,1
1618595953506,0.31,0,0,0,0.92,0,1
1618595958524,0.27,0,0,0,0.97,0,1
1618595963567,0.27,0,0,0,0.97,0,1
1618595968574,0.23,0,0,0,1.02,0,1
1618595973578,0.23,0,0,0,1.02,0,1
1618595978581,0.2,0,0,0,1.07,0,1
1618595983585,0.2,0,0,0,1.07,0,1
1618595988589,0.17,0,0,0,1.13,0,1
1618595993593,0.17,0,0,0,1.13,0,1
1618595998596,0.14,0,0,0,1.16,0,1
1618596003599,0.14,0,0,0,1.16,0,1
1618596008603,0.1,0,0,0,1.2,0,1
1618596013607,0.1,0,0,0,1.2,0,1
1618596018610,0.08,0,0,0,1.24,0,1
1618596023614,0.08,0,0,0,1.24,0,1
1618596028617,0.05,0,0,0,1.28,0.01,1
1618596033637,0.05,0,0,0,1.28,0.01,1
1618596038644,0.05,0,0,0,1.28,0.02,1
1618596043652,0.04,0,0,0,1.29,0.02,1
1618596048662,0.04,0,0,0,1.29,0.02,1
